Username,Tweet,Image,URL,Tanggal_Tweet,Reply,Retweet,Like,Views,Keyword,Tanggal_Scrape
Marsudi Saputra@marsudi_saputra·Jun 18,Petani jadi lebih semangat nanam karena support besar PresidenPrabowodi irigasi,,https://twitter.com/marsudi_saputra/status/1935125297650885071,2025-06-17T23:59:58.000Z,0,0,0,7,Prabowo,2025-06-19
Anastasia Kusmawati@anastasia_kusma·Jun 18,"Supaya nggak gampang terpecah harus punya sikap jelas, itu yang dilakukanPrabowo",,https://twitter.com/anastasia_kusma/status/1935125283365077141,2025-06-17T23:59:55.000Z,0,0,0,7,Prabowo,2025-06-19
David HS@david_hasibuan·Jun 18,Lah kadang UU kalah sama permen.#Jiwasraya7thn nasabah belum dibayar.@prabowo@LetkolTeddy@KejaksaanRI@erickthohir@smindrawatii@riekediahp@ojkindonesia@Jiwasraya@machrilmachril1@MasYudi1958@hexana_tri@rogandapm,,https://twitter.com/david_hasibuan/status/1935125232047767596,2025-06-17T23:59:42.000Z,1,0,1,10,Prabowo,2025-06-19
mie ayam@rapunjellyeuw·Jun 18,pecat mentrinya pak bikin gaduh masak pulau milik negara sendiri dicaplok,,https://twitter.com/rapunjellyeuw/status/1935125174820766198,2025-06-17T23:59:29.000Z,0,0,0,36,Prabowo,2025-06-19
Agoeng@AgoengBoediono·Jun 18,Bukankah harusnya meterai di bagian yg buat kesepakatan?,,https://twitter.com/AgoengBoediono/status/1935125167665262802,2025-06-17T23:59:27.000Z,0,0,0,31,Prabowo,2025-06-19
MiRa@rmiryanti·Jun 18,Strategi pak@prabowoternyata mendidik & memberi pencerahan bagi masyarakat yg terkena citra penipuan@jokowiselama 10 thn,,https://twitter.com/rmiryanti/status/1935125152322245023,2025-06-17T23:59:23.000Z,0,0,0,88,Prabowo,2025-06-19
gst.2005@gst2005·Jun 18,@prabowo@KemenkeuRIGiant Sea Wall non sense .. bedakan dengan Great wall China fungsinya ! Hutan Bakau dengan Biaya CSR Lebih efektif mempunyai add Value ! waspada Tricky 9 Naga !@kompascom@tempodotco@setkabgoid,,https://twitter.com/gst2005/status/1935125130465919092,2025-06-17T23:59:18.000Z,0,0,0,20,Prabowo,2025-06-19
#MendungMerundung@asmadajoel·Jun 18,"Akar masalahnya dimana pak?
Tak ada asap jija tak ada api.
Karena pembantu bapak sudah main api kemana mana, kesegala hal kehidupan rakyat..
Ketegasan Presiden kpd para mentri perlu, agar tidak disepelekan mereka yg merongrong wibawa bapak.",,https://twitter.com/asmadajoel/status/1935125119917244449,2025-06-17T23:59:16.000Z,0,0,1,138,Prabowo,2025-06-19
Handi Prabowo@handiprabowo88·Jun 18,Dasar...keluarga garong.,,https://twitter.com/handiprabowo88/status/1935125026141057398,2025-06-17T23:58:53.000Z,0,0,0,28,Prabowo,2025-06-19
WTF@sadtan13·Jun 18,"Keseriusan itu mestinya ditunjukkan bahkan sejak sebelum keputusan dibuat, itu baru namanya kerja yang benar. Mau seurgent apapun juga mesti riset dulu. 

Kalau udah pada ribut, pada nolak, baru serius, apa bedanya sama binatang yang larinya makin kencang kalau dicambuk?",,https://twitter.com/sadtan13/status/1935125026011062771,2025-06-17T23:58:53.000Z,0,0,3,143,Prabowo,2025-06-19
